Tahun,Mobil Penumpang,Bus,Truk,Sepeda motor,Jumlah,Keterangan
2012,2742414,358895,561918,10825973,14489200,1
2013,3010403,360223,619027,11949280,15938933,1
2014,3266009,362066,673661,13084372,17386108,1
2015,3469168,363483,706014,13989590,18528255,1
2016,3525925,338730,689561,13310672,17864888,0
2017,2827399,31593,587860,14137126,17583978,0
2018,3082616,33419,631156,15037359,18784550,1
2019,3310426,34905,669724,15868191,19883246,1
2020,3365467,35266,679708,16141380,20221821,1
2021,4111231,342667,785600,16519197,21758695,1
